TIME_PERIOD,OBS_VALUE
2018-Q1,231.314498077682
2018-Q1,228.595824051657
2018-Q1,222.14690433818
2018-Q2,212.351412494074
2018-Q2,220.617064138007
2018-Q2,224.205396557756
2018-Q3,217.97734240975
2018-Q3,222.041913574575
2018-Q3,225.500139074503
2018-Q4,245.948582115138
2018-Q4,234.781973209118
2018-Q4,227.924206226509
2019-Q1,226.6545867933
2019-Q1,231.403033689599
2019-Q1,228.302132583045
2019-Q2,235.827081008399
2019-Q2,226.678447835177
2019-Q2,235.947443939784
2019-Q3,240.723723507755
2019-Q3,237.131635070921
2019-Q3,240.376772644932
2019-Q4,242.863243876774
2019-Q4,248.066184396488
2019-Q4,259.926004915433
2020-Q1,238.537637441982
2020-Q1,241.903897108617
2020-Q1,239.086589339384
2020-Q2,201.632998279613
2020-Q2,204.426001791511
2020-Q2,193.795559058742
2020-Q3,211.494195485851
2020-Q3,209.657851190623
2020-Q3,210.098790825257
2020-Q4,225.996064481081
2020-Q4,216.600676576606
2020-Q4,215.107572199153
2021-Q1,215.308196983616
2021-Q1,216.380046155872
2021-Q1,215.031400563488
2021-Q2,214.817638520438
2021-Q2,213.207109610767
2021-Q2,206.98647265407
2021-Q3,209.77169657416
2021-Q3,191.257433464091
2021-Q3,191.2225103312
2021-Q4,210.012982814733
2021-Q4,213.117022868034
2021-Q4,205.762904975071
2022-Q1,215.587513468768
2022-Q1,216.996113972439
2022-Q1,217.346614502922
2022-Q2,247.245183689074
2022-Q2,223.225527816859
2022-Q2,238.930338991737
2022-Q3,228.003033863318
2022-Q3,230.776405228819
2022-Q3,231.757550227297
2022-Q4,236.729252741967
2022-Q4,232.675991107426
2022-Q4,230.493631756167
2023-Q1,243.11516484971
2023-Q1,238.653918664944
2023-Q1,239.092953405372
2023-Q2,261.255906547081
2023-Q2,252.740057743232
2023-Q2,257.44814881248
2023-Q3,274.550225262188
2023-Q3,272.161956126453
2023-Q3,272.792689242288
2023-Q4,276.010028850311
2023-Q4,279.604862181355
2023-Q4,282.005831684969
2024-Q1,286.355058615373
2024-Q1,285.223771829681
2024-Q1,276.50060985866
2024-Q2,254.350806684587
2024-Q2,262.524323726876
2024-Q2,266.677959318918
2024-Q3,253.910570568224
2024-Q3,255.522772565199
2024-Q3,257.700629662774
2024-Q4,254.085582935057
2024-Q4,259.276096993633
2024-Q4,254.382845692565
